296,SQQQ,22369,etf
297,MRO,22224,stocks
298,AMAT,22055,stocks
299,FCX,22021,stocks
300,AYRO,22007,stocks
301,PHUN,21908,stocks
302,CHEK,21807,stocks
303,SPWR,21795,stocks
304,MNMD,21760,stocks
305,HITI,21709,stocks
306,TXMD,21680,stocks
307,TELL,21674,stocks
308,CBAT,21550,stocks
309,CSCW,21534,unavailable
310,PULM,21489,stocks
311,CAPR,21473,stocks
312,DBX,21266,stocks
313,GTE,21202,stocks
314,AHT,21187,stocks
315,ADMA,21113,stocks
316,JBLU,21104,stocks
317,CVX,21078,stocks
318,VUZI,20933,stocks
319,ANY,20907,stocks
320,IWM,20822,etf
321,DSS,20742,stocks
322,INUV,20718,stocks
323,CRMD,20618,stocks
324,DARE,20564,stocks
325,LMT,20469,stocks
326,GOLD,20424,stocks
327,CTXR,20411,stocks
328,ABIO,20408,stocks
329,KOSS,20399,stocks
330,NET,20339,stocks
331,LMFA,20323,stocks
332,ORCL,20244,stocks
333,FTFT,19998,stocks
334,OAS,19936,unavailable
335,EA,19687,stocks
336,PSHG,19593,stocks
337,LMND,19582,stocks
338,IPOF,19464,unavailable
339,EBAY,19345,stocks
340,NBY,19337,stocks
341,CHWY,19302,stocks
342,LCAHU,19208,stocks
343,WTRH,19208,unavailable
344,RIG,19115,stocks
345,GERN,19114,stocks
346,DVAX,18971,stocks
347,ARKG,18960,etf
348,VLDR,18941,unavailable
349,APDN,18937,stocks
350,ESGC,18920,unavailable
351,AMPE,18804,stocks
352,AZN,18745,stocks
353,SRPT,18729,stocks
354,SE,18670,stocks
355,SIRI,18667,stocks
356,LAC,18656,stocks
357,ZYNE,18631,stocks
358,APPS,18625,stocks
359,BLDP,18556,stocks
360,SONN,18534,stocks
361,BPTH,18458,stocks
362,CRSR,18324,stocks
363,PCG,18299,stocks
364,GBR,18296,stocks
365,MFA,17927,stocks
366,BIIB,17904,stocks
367,LKCO,17875,stocks
368,MJ,17841,etf
369,VKTX,17786,stocks
370,NBRV,17737,stocks
371,COCP,17729,stocks
372,CRDF,17726,stocks
373,ENG,17672,stocks
374,ISR,17632,unavailable
375,VOO,17595,etf
376,MO,17427,stocks
377,OCUP,17423,stocks
378,AVGO,17376,stocks
379,CETX,17356,stocks
380,MMM,17331,stocks
381,PSTV,17323,stocks
382,ASRT,17297,stocks
383,AGRX,17175,stocks
384,PALI,17092,stocks
385,OPEN,17064,stocks
386,EVFM,17036,stocks
387,PG,17033,stocks
388,CNET,16936,stocks
389,WLL,16935,unavailable
390,CVM,16915,stocks
391,MYSZ,16775,stocks
392,MOMO,16677,stocks
393,OKTA,16652,stocks
394,HSTO,16641,stocks
395,ACHV,16586,stocks
396,PHIO,16538,stocks
397,BZUN,16497,stocks
398,LABU,16487,etf
399,AI,16413,stocks
400,VIAC,16332,stocks
401,HAL,16319,stocks
402,BP,16183,stocks
403,ARVL,16164,stocks
404,BMY,16105,stocks
405,UPS,16072,stocks
406,RKDA,16014,stocks
407,ZEV,16011,stocks
408,SWKS,15929,stocks
409,VYNT,15904,stocks
410,LPCN,15886,stocks
411,CEMI,15808,unavailable
412,PLX,15784,stocks
413,AVXL,15779,stocks
414,MRK,15755,stocks
415,MOSY,15753,unavailable
416,AKBA,15751,stocks
417,HTGM,15690,stocks
418,NMTR,15685,stocks
419,KR,15648,stocks
420,ACRX,15635,stocks
421,AG,15629,stocks
422,MP,15590,stocks
423,OTLK,15587,stocks
424,VTGN,15531,stocks
425,CAN,15529,stocks
426,AEMD,15480,stocks
427,TTWO,15478,stocks
428,ABT,15476,stocks
429,VTVT,15431,stocks
430,UONE,15348,stocks
431,TLT,15345,etf
432,LOTZ,15339,unavailable
433,FRX,15307,unavailable
434,BKNG,15290,stocks
435,CPRX,15268,stocks
436,VIVE,15238,unavailable
437,TMUS,15235,stocks
438,HIMX,15198,stocks
439,EMAN,15190,stocks
440,OBLN,15184,unavailable
441,BLRX,15112,stocks
442,VGAC,15095,unavailable
443,HUYA,15092,stocks
444,CLDR,15090,unavailable
445,U,15043,stocks
446,RUN,15007,stocks
447,APRN,14980,stocks
448,REGN,14968,stocks
449,AMTX,14914,stocks
450,EDIT,14890,stocks
451,LOW,14878,stocks
452,ABUS,14851,stocks
453,SPLK,14836,stocks
454,TENX,14717,stocks
455,BBY,14697,stocks
456,SDC,14656,stocks
457,NVIV,14607,stocks
458,CDEV,14588,unavailable
459,INSG,14542,stocks
460,BIMI,14541,stocks
461,ULTA,14535,stocks
462,CRIS,14521,stocks
463,ASTS,14503,stocks
464,NNOX,14445,stocks
465,TNDM,14403,stocks
466,SINO,14370,unavailable
467,ACTC,14353,unavailable
468,CPE,14345,stocks
469,DM,14329,stocks
470,SGBX,14304,stocks
471,INDI,14293,stocks
472,CYCC,14286,stocks
473,PLAY,14257,stocks
474,AA,14219,stocks
475,LGHL,14198,stocks
476,NTEC,14183,unavailable
477,NTNX,14142,stocks
478,NVTA,14118,stocks
479,AXP,14052,stocks
480,LEDS,14052,stocks
481,RWLK,13998,stocks
482,VIRX,13992,stocks
483,VALE,13968,stocks
484,WBA,13929,stocks
485,NEPT,13923,stocks
486,NCTY,13906,stocks
487,W,13902,stocks
488,PEP,13864,stocks
489,PANW,13854,stocks
490,BLUE,13804,stocks
491,DDOG,13802,stocks
492,HEAR,13787,stocks
493,ATNF,13752,stocks
494,MRVL,13734,stocks
495,TANH,13714,stocks
496,BRQS,13619,stocks
497,BNTX,13598,stocks
498,VERU,13572,stocks
499,SFIX,13542,stocks
500,O,13540,stocks
501,YELP,13514,stocks
502,RTX,13497,stocks
503,MICT,13451,unavailable
504,FAMI,13415,stocks
505,CANF,13408,stocks
506,APT,13387,stocks
507,ACAD,13368,stocks
508,ISRG,13364,stocks
509,MBOT,13360,stocks
510,ET,13311,stocks
511,YVR,13274,stocks
512,RMED,13199,stocks
513,AMBA,13188,stocks
514,BTX,13181,unavailable
515,ARKF,13161,etf
516,PTE,13149,stocks
517,GRWG,13148,stocks
518,CPHI,13138,stocks
519,ARKX,13134,etf
520,EH,13132,stocks
521,DEN,13108,stocks
522,YMTX,13095,unavailable
523,THMO,13086,stocks
524,SHAK,13064,stocks
525,DLPN,13037,stocks
526,KMI,12998,stocks
527,AAOI,12954,stocks
528,RCON,12900,stocks
529,DASH,12828,stocks
530,EKSO,12804,stocks
531,Z,12784,stocks
532,CSIQ,12747,stocks
533,SXTC,12727,stocks
534,AUY,12684,unavailable
535,PACB,12635,stocks
536,UNH,12621,stocks
537,RHE,12614,stocks
538,STAF,12608,stocks
539,IRBT,12580,stocks
540,SLRX,12564,stocks
541,INFI,12527,stocks
542,VTI,12440,etf
543,CLRB,12437,stocks
544,VFF,12343,stocks
545,CATB,12341,unavailable
546,BE,12313,stocks
547,GLSI,12289,stocks
548,BILI,12285,stocks
549,SPCB,12280,stocks
550,NNVC,12250,stocks
551,ACIC,12235,unavailable
552,TRIL,12196,unavailable
553,MYO,12155,stocks
554,BBIG,12139,stocks
555,AQMS,12137,stocks
556,MRNS,12131,stocks
557,PIXY,12089,stocks
558,ARRY,12064,stocks
559,KHC,12060,stocks
560,EVOK,12049,stocks
561,XTNT,12043,stocks
562,AYX,12014,stocks
563,FVRR,11964,stocks
564,TYME,11937,unavailable
565,AREC,11931,stocks
566,BORR,11919,stocks
567,LRCX,11916,stocks
568,TGTX,11912,stocks
569,ENSV,11903,stocks
570,SVXY,11885,etf
571,AGTC,11883,unavailable
572,LABD,11856,etf
573,MELI,11823,stocks
574,EXEL,11819,stocks
575,EDSA,11794,stocks
576,SPG,11782,stocks
577,NRZ,11753,unavailable
578,VYNE,11751,stocks
579,ASTC,11724,stocks
580,PRTY,11722,unavailable
581,BLPH,11706,stocks
582,COTY,11704,stocks
583,AXAS,11658,stocks
584,WDC,11614,stocks
585,ZS,11606,stocks
586,SNGX,11548,stocks
587,CREG,11469,stocks
588,YTEN,11441,stocks
589,BOX,11440,stocks
590,BIGC,11432,stocks
591,WIMI,11421,stocks
592,SGMO,11403,stocks
593,WORX,11359,stocks
594,RGLS,11347,stocks
595,IDRA,11325,unavailable
596,VTNR,11323,stocks
597,ARWR,11305,stocks
598,KXIN,11303,stocks
599,MTCH,11294,stocks
600,SPXS,11276,etf
601,LVS,11275,stocks
602,GNPX,11259,stocks
603,PXS,11246,stocks
604,AMGN,11243,stocks
605,SGLB,11228,unavailable
606,WW,11202,stocks
607,AGEN,11188,stocks
608,RIGL,11186,stocks
609,SEDG,11180,stocks
610,UNG,11176,etf
611,ADN,11145,stocks
612,GRUB,11139,unavailable
613,MGNI,11132,stocks
614,ARKW,11108,etf
615,MTNB,11015,stocks
616,GMBL,10953,stocks
617,BTBT,10945,stocks
618,ONVO,10925,stocks
619,MTBC,10922,unavailable
620,BLIN,10911,stocks
621,SOL,10904,stocks
622,MYT,10896,unavailable
623,AEHL,10886,stocks
624,GSAH,10872,unavailable
625,BBI,10840,unavailable
626,TKAT,10822,stocks
627,KTOS,10805,stocks
628,LXRX,10785,stocks
629,WDAY,10765,stocks
630,CLII,10739,unavailable
631,RH,10702,stocks
632,ATHX,10693,stocks
633,HOL,10673,unavailable
634,ILMN,10623,stocks
635,ENVB,10622,stocks
636,XNET,10611,stocks
637,BTWN,10609,stocks
638,IMUX,10577,stocks
639,TRIT,10567,unavailable
640,NURO,10555,stocks
641,PPBT,10554,stocks
642,SLGG,10544,stocks
643,SCYX,10475,stocks
644,CLBS,10457,stocks
645,ACER,10441,stocks
646,CPNG,10435,stocks
647,ITP,10435,stocks
648,ANIX,10430,stocks
649,UAMY,10417,stocks
650,PDD,10406,stocks
651,ONCT,10400,stocks
652,MS,10366,stocks
653,NOW,10348,stocks
654,WTI,10333,stocks
655,MAXR,10278,unavailable
656,IMGN,10269,stocks
657,SPPI,10243,stocks
658,WB,10200,stocks
659,NAT,10152,stocks
660,POLA,10152,stocks
661,MDB,10080,stocks
662,SRAC,10066,unavailable
663,UPST,10039,stocks
664,OBSV,10019,unavailable
665,CLDX,10001,stocks
666,VVPR,9985,stocks
667,JKS,9981,stocks
668,ONCS,9977,stocks
669,ZKIN,9967,stocks
670,ABEO,9961,stocks
671,EXAS,9916,stocks
672,UXIN,9865,stocks
673,SCKT,9848,stocks
674,CZR,9845,stocks
675,EXPE,9817,stocks
676,PBR,9813,stocks
677,NEE,9803,stocks
678,FPL,9802,stocks
679,IIPR,9791,stocks
680,ICPT,9770,stocks
681,SLB,9763,stocks
682,BXRX,9755,stocks
683,SNPR,9727,unavailable
684,BKYI,9708,stocks
685,STZ,9699,stocks
686,STZ/B,9699,etf
687,KTRA,9684,stocks
688,HPQ,9670,stocks
689,XBIO,9669,stocks
690,OCUL,9661,stocks
691,IEA,9639,unavailable
692,HJLI,9635,unavailable
693,VRDN,9599,stocks
694,MSTR,9584,stocks
695,ENDP,9549,unavailable
696,ICLN,9548,etf
697,CMCSA,9535,stocks
698,TEAM,9531,stocks
699,ARTL,9481,stocks
700,CCXI,9477,unavailable
701,ESEA,9445,stocks
702,SFET,9435,unavailable
703,SWN,9429,stocks
